,Brand,ModelName,ModelID,Color,Transmission,mileage,Price,bodyTypeName,FuelType,SellerState,MSRP,DaysOnMarket,OwnerCount,AccidentCount,Alloy Wheels,Backup Camera,Bluetooth,Heated Seats,Navigation System,Leather Seats,Blind Spot Monitoring,Sunroof/Moonroof,Remote Start,CarPlay,Android Auto,Parking Sensors,Adaptive Cruise Control,YearOld,id
0,Ford,F-150,d337,GRAY,Automatic,25111.0,36990.0,Pickup Truck,Flex Fuel Vehicle,IL,37990.0,211,1.0,0.0,1,1,1,1,0,0,0,0,1,1,0,0,0,4,0
1,Chrysler,Pacifica,d177,GRAY,Automatic,94774.0,20990.0,Minivan,Gasoline,IL,20990.0,11,1.0,1.0,1,1,1,0,0,0,0,0,1,0,0,0,0,5,1
2,Toyota,4Runner,d290,BLUE,Automatic,179200.0,21990.0,SUV / Crossover,Gasoline,IL,,203,2.0,0.0,0,1,1,1,1,1,0,1,0,0,0,0,0,10,2
3,RAM,2500,d2102,BLACK,Automatic,26438.0,53580.0,Pickup Truck,Gasoline,IL,,37,2.0,0.0,0,1,1,1,0,0,1,0,1,0,0,1,0,3,3
4,Dodge,Durango,d651,BLACK,Automatic,93724.0,25995.0,SUV / Crossover,Gasoline,IL,,9,1.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,4
5,Ford,Edge,d923,BLACK,Automatic,19465.0,34962.0,SUV / Crossover,Gasoline,IL,,232,1.0,0.0,1,1,1,1,1,1,1,0,1,0,0,1,1,4,5
6,Chevrolet,Silverado 1500,d630,UNKNOWN,Automatic,99224.0,32667.0,Pickup Truck,Gasoline,IL,,68,1.0,0.0,1,1,1,1,1,1,0,0,1,0,0,1,0,5,6
7,Ford,Mustang,d2,RED,Automatic,3315.0,39990.0,Coupe,Gasoline,IL,39990.0,23,1.0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,7
8,Lincoln,Nautilus,d2680,SILVER,Automatic,11528.0,48986.0,SUV / Crossover,Gasoline,IL,,69,1.0,0.0,0,1,1,0,1,0,1,1,1,1,1,0,0,3,8
9,Hyundai,Tucson,d98,RED,Automatic,74587.0,20990.0,SUV / Crossover,Gasoline,IL,21590.0,23,1.0,0.0,1,1,1,1,1,1,1,0,0,1,1,0,0,5,9
10,Ford,F-150,d337,RED,Automatic,27459.0,40950.0,Pickup Truck,Gasoline,IL,,157,1.0,0.0,1,1,1,1,0,0,0,0,1,1,1,0,0,3,10
11,Dodge,Durango,d651,UNKNOWN,Automatic,49896.0,41962.0,SUV / Crossover,Gasoline,IL,,137,2.0,0.0,1,1,1,1,1,1,0,0,1,1,1,0,0,3,11
12,Ford,F-150,d337,BLACK,Automatic,66960.0,37962.0,Pickup Truck,Gasoline,IL,,56,,0.0,1,1,0,1,1,0,0,0,1,1,1,0,0,3,12
13,Chevrolet,Trax,d2272,BLUE,Automatic,32890.0,20490.0,SUV / Crossover,Gasoline,IL,20490.0,202,1.0,0.0,1,1,1,0,0,0,0,0,1,1,1,0,0,3,13
14,Chevrolet,Traverse,d1521,RED,Automatic,28999.0,36290.0,SUV / Crossover,Gasoline,IL,36490.0,64,1.0,0.0,1,1,1,1,0,0,1,0,1,1,1,1,0,3,14
15,Chevrolet,Silverado 1500,d630,BLACK,Automatic,78583.0,29500.0,Pickup Truck,Gasoline,IL,,58,1.0,0.0,1,1,1,0,1,0,0,0,1,0,0,1,0,6,15
16,Chevrolet,Equinox,d616,WHITE,Automatic,38189.0,25990.0,SUV / Crossover,Gasoline,IL,25990.0,21,2.0,0.0,1,1,1,1,0,0,1,0,1,1,1,1,0,4,16
17,Ford,Transit Passenger,d2270,WHITE,Automatic,58400.0,43292.0,Van,Gasoline,IL,,174,2.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,17
18,Toyota,Highlander,d298,WHITE,Automatic,158626.0,21021.0,SUV / Crossover,Gasoline,IL,,26,1.0,0.0,1,1,1,1,1,0,0,1,0,0,0,0,0,8,18
19,Ford,Escape,d330,WHITE,Automatic,106149.0,11950.0,SUV / Crossover,Gasoline,IL,,22,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19
20,Chevrolet,Silverado 1500,d630,RED,Automatic,82552.0,36777.0,Pickup Truck,Gasoline,IL,37490.0,81,3.0,0.0,1,1,1,1,1,1,0,1,1,1,0,1,0,6,20
21,Nissan,Rogue Sport,d2513,GRAY,CVT,17427.0,29995.0,SUV / Crossover,Gasoline,IL,,96,1.0,0.0,1,1,1,1,1,0,1,0,1,1,1,1,0,2,21
22,Chevrolet,Bolt EV,d2397,RED,Automatic,25428.0,22988.0,Hatchback,Electric,IL,23996.0,187,2.0,0.0,1,1,1,1,1,1,1,0,1,1,1,1,0,4,22
23,Ford,F-150,d337,WHITE,Automatic,54434.0,37290.0,Pickup Truck,,IL,37990.0,90,2.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,23
24,Ford,F-250 Super Duty,d341,WHITE,Automatic,71699.0,55900.0,Pickup Truck,Biodiesel,IL,55900.0,71,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24
25,Ford,F-150,d337,WHITE,Automatic,27404.0,26962.0,Pickup Truck,Gasoline,IL,,12,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,25
26,Chevrolet,Traverse,d1521,BLACK,Automatic,86331.0,19600.0,SUV / Crossover,Gasoline,IL,,135,2.0,0.0,1,1,1,1,1,1,0,0,1,0,0,1,0,5,26
27,Chevrolet,Equinox,d616,WHITE,Automatic,140570.0,11995.0,SUV / Crossover,Gasoline,IL,,33,1.0,0.0,1,1,1,1,1,1,0,0,1,0,0,0,0,6,27
28,Ford,Escape,d330,SILVER,Automatic,103699.0,10495.0,SUV / Crossover,Gasoline,IL,,9,3.0,1.0,1,0,1,1,1,1,0,0,1,0,0,0,0,9,28
29,Ford,F-150,d337,BLACK,Automatic,22662.0,38962.0,Pickup Truck,Flex Fuel Vehicle,IL,,69,,0.0,1,1,0,0,0,0,0,0,0,1,1,0,0,2,29
30,Chevrolet,Traverse,d1521,GRAY,Automatic,108774.0,18422.0,SUV / Crossover,Gasoline,IL,,123,2.0,0.0,0,1,1,1,1,1,1,1,1,0,0,1,0,6,30
